integrated_leiden	BRCA1_preneoplastic	ER	HER2	Normal	TNBC	mER
0	0.07455533070614549	66.16785600170412	12.4081371818085	4.1750985195441475	5.20289700713601	11.971455959101075
1	5.220754108926845	6.426039316790202	0.6187560425394779	76.09410248146955	11.62101192394457	0.019336126329358685
2	2.2260901429094906	49.221326493220964	16.33382191278857	2.9956027849028946	29.159032612678637	0.06412605349945034
3	22.120559741657697	22.217438105489773	5.382131324004305	45.425188374596345	4.294940796555436	0.5597416576964478
4	4.329474191992282	18.210323203087313	1.7124939700916546	72.38301977809938	0.7838880849011095	2.580800771828268
5	1.9289729177312211	47.91773122125703	8.495145631067961	21.985181400102196	10.181400102197241	9.491568727644353
6	7.6668172917608075	6.8233167645729775	1.0393131495707186	75.82467239042025	8.359692724807953	0.2861876788672993
7	0.9888150429567191	51.8722645485492	14.135192089479656	5.59247852164046	24.007132436375425	3.404117360998541
8	20.975056689342402	10.44973544973545	4.138321995464852	62.585034013605444	1.6439909297052153	0.20786092214663643
9	0.05743825387708214	43.5669155657668	10.367604824813325	4.192992533026995	30.844342331993108	10.970706490522689
10	20.43078872347165	14.982578397212542	3.9277795375356352	57.2695597085841	2.882483370288248	0.5068102629078239
11	1.883745963401507	45.31754574811625	23.089343379978473	4.682454251883747	25.02691065662002	0.0
12	0.12135922330097086	66.92961165048543	10.740291262135921	1.820388349514563	20.388349514563107	0.0
13	0.411522633744856	35.18518518518518	30.45267489711934	5.555555555555555	19.34156378600823	9.053497942386832
14	0.5714285714285714	57.714285714285715	15.714285714285714	7.428571428571429	18.571428571428573	0.0
