integrated_leiden	Activated_Tcell	B_cell_APC	Dendritic_APC	Endothelial	Epithelial	Fibroblast	Macrophage	NK_cell	Plasma_cell	T_cell
0	3.014165512834168	0.005325380764724678	0.10118223452976888	0.20236446905953775	82.93748002982213	0.20768984982426245	0.8573863031206731	0.1917137075300884	10.533603152625412	1.949089359889232
1	1.7273606187560426	16.02964872703835	10.58330647760232	0.0	65.57524975829843	1.366419593941347	0.29648727038349987	2.333225910409281	1.6113438607798907	0.4769577827908476
2	5.469036277024551	0.6779039941370466	0.027482594356907294	0.05496518871381459	0.7603517772077685	0.009160864785635764	0.6412605349945035	23.47013558079883	0.03664345914254306	68.8530597288384
3	0.010764262648008612	0.010764262648008612	0.010764262648008612	0.32292787944025836	0.5597416576964478	98.60064585575888	0.2798708288482239	0.0	0.05382131324004305	0.15069967707212056
4	1.567776169802219	0.0120598166907863	0.0361794500723589	0.0241196333815726	83.90014471780029	0.120598166907863	0.3859141341051616	0.0241196333815726	13.651712493970091	0.27737578388808487
5	5.914665304036791	0.2682677567705672	0.35769034236075625	0.7026060296371998	69.90291262135922	0.7664793050587635	1.200817577925396	0.6259580991313235	16.670924885028104	3.5896780786918754
6	11.447507154691971	0.030125018828136767	4.789877993673746	0.9338755836722399	40.74408796505497	11.763819852387408	0.6326253953908721	9.97138123211327	14.143696339810214	5.543003464377165
7	0.0	5.5114281082833525	4.214621494569623	0.11347057869995136	0.729453720213973	0.43767223212838385	85.65407683579186	1.0050251256281406	2.074890581941968	0.259361322742746
8	0.5668934240362812	2.494331065759637	0.0	94.7845804988662	0.4346182917611489	1.436130007558579	0.17006802721088435	0.0	0.05668934240362812	0.05668934240362812
9	14.991384261918439	2.4985640436530727	0.6605399195864445	0.0	59.07524411257897	0.17231476163124643	1.6082711085583	1.1487650775416427	18.351522113727743	1.4933946008041357
10	0.15837820715869497	0.0	0.06335128286347799	8.457396262274312	1.1403230915426037	50.300918593601516	22.141273360785558	0.0	17.516629711751662	0.22172949002217296
11	0.0	0.9687836383207751	0.0	0.05382131324004305	2.4219590958019377	0.05382131324004305	0.8611410118406888	0.2152852529601722	94.29494079655544	1.1302475780409043
12	0.0	85.74029126213593	0.24271844660194172	0.0	1.4563106796116505	0.1820388349514563	4.0048543689320395	0.9101941747572815	2.0024271844660197	5.461165048543689
13	1.02880658436214	3.292181069958848	1.440329218106996	0.6172839506172839	82.71604938271605	1.2345679012345678	2.263374485596708	0.0	3.4979423868312756	3.909465020576132
14	6.857142857142858	1.1428571428571428	18.571428571428573	2.0	3.428571428571429	0.2857142857142857	61.42857142857143	1.7142857142857144	0.0	4.571428571428571
