epi_leiden	BRCA1_preneoplastic	ER	HER2	Normal	TNBC	mER
0	3.3286451007969995	46.225972808251285	3.4224097515236758	34.24753867791843	1.8284106891701828	10.947022972339427
1	11.784263021795345	7.018840044329516	2.105652013298855	76.17288511267085	2.253417066863687	0.6649427410417437
2	6.634040239260468	25.557368134855903	4.893964110929853	55.62805872756933	5.220228384991843	2.066340402392605
3	2.803738317757009	41.93146417445483	3.8006230529595015	42.80373831775701	0.809968847352025	7.850467289719626
4	10.979618671926364	20.249835634451017	2.7613412228796843	58.71137409598948	4.79947403024326	2.498356344510191
5	2.968036529680365	28.00608828006088	3.1963470319634704	22.146118721461185	42.31354642313546	1.36986301369863
6	5.787781350482315	19.212218649517684	1.929260450160772	67.60450160771704	5.466237942122187	0.0
7	2.090032154340836	59.80707395498393	24.19614147909968	6.189710610932476	5.868167202572348	1.8488745980707395
8	6.20347394540943	7.030603804797353	2.2332506203473943	81.88585607940446	1.7369727047146404	0.9098428453267163
9	1.6736401673640167	29.707112970711297	7.698744769874477	4.602510460251046	55.062761506276146	1.2552301255230125
10	1.5596330275229358	65.59633027522935	8.073394495412845	16.238532110091743	4.495412844036697	4.036697247706423
11	8.625592417061611	14.691943127962084	1.4218009478672986	66.72985781990522	8.341232227488153	0.18957345971563982
12	4.007633587786259	36.354961832061065	7.251908396946565	35.973282442748086	14.31297709923664	2.099236641221374
13	4.975609756097561	27.121951219512198	2.24390243902439	56.39024390243902	8.780487804878048	0.4878048780487805
14	0.0	75.32861476238625	6.774519716885743	0.910010111223458	1.0111223458038423	15.975733063700709
15	0.41279669762641896	35.706914344685245	43.343653250774	15.170278637770899	4.3343653250774	1.0319917440660475
16	1.5544041450777202	55.02590673575129	11.088082901554404	17.2020725388601	3.83419689119171	11.295336787564766
17	5.427974947807933	21.189979123173277	4.906054279749479	50.10438413361169	17.22338204592902	1.1482254697286012
18	0.7314524555903866	35.318704284221525	48.06687565308255	12.539184952978054	2.507836990595611	0.8359456635318705
19	0.3289473684210526	56.25	13.267543859649123	9.539473684210527	13.37719298245614	7.236842105263158
20	3.318077803203661	33.86727688787185	28.37528604118993	15.446224256292906	10.526315789473683	8.466819221967963
21	1.5439429928741093	59.50118764845605	5.938242280285035	24.346793349168646	6.413301662707839	2.2565320665083135
22	4.7560975609756095	4.390243902439024	3.7804878048780486	85.85365853658537	1.2195121951219512	0.0
23	12.407862407862408	13.144963144963146	2.211302211302211	68.67321867321867	3.3169533169533167	0.2457002457002457
24	1.4360313315926894	60.574412532637076	3.263707571801567	20.757180156657963	9.921671018276761	4.046997389033943
25	4.569190600522193	10.835509138381202	2.8720626631853787	81.0704960835509	0.6527415143603132	0.0
26	0.39473684210526316	81.84210526315789	1.0526315789473684	13.026315789473683	2.5	1.1842105263157896
27	2.2666666666666666	27.333333333333332	1.4666666666666666	37.2	0.4	31.333333333333336
28	8.119079837618404	36.40054127198917	16.644113667117725	31.799729364005415	5.142083897158322	1.8944519621109608
29	0.0	81.58640226628894	11.189801699716714	2.1246458923512748	5.099150141643059	0.0
30	5.838323353293413	35.17964071856288	10.32934131736527	34.58083832335329	11.22754491017964	2.844311377245509
31	14.564564564564563	2.8528528528528527	1.5015015015015014	80.78078078078079	0.3003003003003003	0.0
32	0.9104704097116844	63.12594840667678	8.042488619119878	9.711684370257966	2.731411229135053	15.477996965098633
33	0.0	23.124042879019907	2.2970903522205206	12.404287901990811	59.87748851454824	2.2970903522205206
34	0.4784688995215311	56.9377990430622	31.100478468899524	3.6682615629984054	1.9138755980861244	5.901116427432217
35	0.0	59.183673469387756	24.65986394557823	3.061224489795918	12.244897959183673	0.8503401360544218
36	0.3527336860670194	79.8941798941799	14.462081128747794	0.0	4.056437389770723	1.2345679012345678
37	0.0	92.18181818181819	1.8181818181818181	2.5454545454545454	1.4545454545454546	2.0
38	0.7707129094412332	69.7495183044316	9.05587668593449	15.221579961464354	4.624277456647398	0.5780346820809248
39	3.8	42.0	5.4	42.8	5.6000000000000005	0.4
40	1.3793103448275863	55.632183908045974	9.885057471264368	12.413793103448276	1.839080459770115	18.850574712643677
41	1.6203703703703702	31.944444444444443	3.7037037037037033	19.90740740740741	4.62962962962963	38.19444444444444
42	0.2695417789757413	57.41239892183289	7.816711590296496	21.563342318059302	9.703504043126685	3.234501347708895
43	0.0	96.1038961038961	0.0	0.0	0.0	3.896103896103896
44	0.0	100.0	0.0	0.0	0.0	0.0
45	0.0	6.172839506172839	87.65432098765432	1.2345679012345678	4.938271604938271	0.0
46	15.151515151515152	21.21212121212121	0.0	48.484848484848484	0.0	15.151515151515152
47	0.0	100.0	0.0	0.0	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0	100.0
49	0.0	100.0	0.0	0.0	0.0	0.0
50	0.0	90.9090909090909	9.090909090909092	0.0	0.0	0.0
51	0.0	0.0	0.0	100.0	0.0	0.0
52	0.0	0.0	0.0	100.0	0.0	0.0
53	0.0	0.0	0.0	100.0	0.0	0.0
