group	names	scores	logfoldchanges	pvals	pvals_adj
12	JAKMIP1	4.2690945		1.9626817638085975e-05	0.0049067044095214936
12	SPRY1	4.1313696		3.606085369067409e-05	0.007887033563512629
12	IGLC2	4.066423		4.774022032339213e-05	0.00868004005879857
13	CNTD1	43.07805		0.0	0.0
13	FTL	5.326419		1.0016807479466006e-07	0.00010016807479466006
13	AC005920.1	2.4309247		0.01506034821649404	1.0
13	COL1A1	1.6478705	-3.4992404	0.09937924356672238	1.0
13	FN1	1.613983	-5.9179	0.10653111181406846	1.0
13	CST9	1.4266012	2.6584978	0.15369488362510528	1.0
13	ASCL1	1.2335602	3.041561	0.21736684597760159	1.0
13	IGLC2	1.1765455	-2.6755161	0.23937696532461572	1.0
13	BPIFB1	1.1298008	1.5590812	0.25856017581853774	1.0
13	SERPINA6	1.0687418	4.2962284	0.2851860193995678	1.0
14	LINC00052	8.374268	8.356976	5.55683043824413e-17	1.1113660876488261e-13
14	CADM2	7.269154	8.757235	3.6174531346919983e-13	3.6174531346919984e-10
14	CORO6	4.4196367		9.886700357300801e-06	0.0049433501786504
14	TPH1	4.054306		5.028337191957411e-05	0.020113348767829643
14	SYCE1	1.6999344		0.08914326324137134	1.0
14	TRH	1.4277893	2.6140282	0.15335251150396237	1.0
14	GAGE2A	1.0676243	5.328012	0.28569001949542805	1.0
14	GAGE12E	0.95047605		0.3418704234308988	1.0
14	CAMP	0.838194	3.7286987	0.4019217643392641	1.0
14	IQGAP3	0.738052		0.46048285680042444	1.0
15	GRIA2	28.028467		7.311597317590007e-173	1.4623194635180014e-169
15	ASCL1	19.949692		1.5081605718781732e-88	1.5081605718781733e-85
15	FTL	9.354782		8.377189700757322e-21	5.5847931338382144e-18
15	HAMP	8.1287985		4.3356784387128905e-16	2.1678392193564452e-13
15	CST9	2.6465485	3.7439086	0.00813178245717596	1.0
15	APOC1	2.1457403		0.03189370807926733	1.0
15	SERPINA6	1.2943137	4.243561	0.1955570823490872	1.0
15	COL1A1	1.2789794		0.2009042867380938	1.0
15	ART4	1.025566		0.3050962136281602	1.0
15	CADM2	1.0077606	2.9098697	0.31356938592169104	1.0
16	SERPING1	33.34075		9.918287414983285e-244	1.983657482996657e-240
16	DIRAS3	2.6587868		0.007842258908352783	1.0
16	FN1	1.6959914		0.08988751802441344	1.0
16	ARHGAP36	1.683255		0.09232575731074362	1.0
16	C4A	0.74670064		0.45524426549638597	1.0
16	IGLC2	0.4959959	-1.3672808	0.6198973052635819	1.0
16	CCL4L2	0.41226745		0.6801434007775653	1.0
16	C1R	0.40246013	-1.0590823	0.6873454292749824	1.0
16	VSIR	0.39733744		0.691118649973437	1.0
16	IGHA1	0.3949608	-2.1052918	0.6928718283342794	1.0
17	NPPC	20.397474		1.7607609048373286e-92	3.521521809674657e-89
17	SERPINA6	16.030214		7.861156799695539e-58	7.861156799695538e-55
17	FTL	1.8994124		0.05751026875311778	1.0
17	TRH	0.95256627	2.3840516	0.34080988853221694	1.0
17	LINC01644	0.9012162		0.3674733764456246	1.0
17	GAGE2A	0.78740716	4.712015	0.43104356871005634	1.0
17	LINC00052	0.709771	2.341947	0.47784616470029906	1.0
17	MEG3	0.6586076		0.5101477652811641	1.0
17	TPH1	0.6460862	4.832893	0.5182235109186605	1.0
17	LAG3	0.5196748		0.6032902787699603	1.0
18	FTL	4.899875		9.58976721245939e-07	0.001917953442491878
18	DCD	1.4777598	5.8592086	0.13947208683621912	1.0
18	TSPAN8	0.544515		0.5860871104261943	1.0
18	HLA-DQA2	0.3490338		0.7270639221997147	1.0
18	TRGC1	0.21351945		0.8309218182760563	1.0
18	TRGC2	0.21021593		0.8334991536631877	1.0
18	CARTPT	0.19381607		0.8463199115312271	1.0
18	CST4	0.13825035		0.8900425622277234	1.0
18	TCAP	0.1345988		0.8929290911593042	1.0
18	LINC01727	0.12585542		0.8998463726901291	1.0
19	FTL	7.454171		9.043453077562427e-14	1.8086906155124853e-10
19	AC004540.1	4.323617		1.5349178345376947e-05	0.015349178345376947
19	HAMP	0.67390305		0.5003729680623968	1.0
19	FAM183A	0.43882537		0.6607880802558794	1.0
19	KLHL10	0.37643608		0.7065927212863032	1.0
19	BAALC	0.31247002		0.7546833456169677	1.0
19	AC084018.2	0.30339757		0.7615868994233741	1.0
19	ABI3	0.26214203		0.7932119360012527	1.0
19	AC016745.1	0.25124568		0.8016241643931843	1.0
19	TRPV2	0.24418542		0.8070872233057085	1.0
20	FTL	10.125789		4.245404977476104e-24	8.490809954952207e-21
20	TRIM55	1.5022844	6.2194467	0.13302365867471044	1.0
20	GLRA3	0.9151074		0.3601352495814537	1.0
20	TSPAN8	0.70412135		0.48135719659035936	1.0
20	UGT2B28	0.5597566		0.5756454816523304	1.0
20	JAKMIP2	0.3785904		0.7049920381164695	1.0
20	KRT24	0.3733262		0.7089056789102419	1.0
20	TBX10	0.3634879		0.7162404585839754	1.0
20	AL138760.1	0.35095328		0.7256234062698448	1.0
20	PLXDC1	0.33770445		0.7355859201059047	1.0
21	IGLV7-43	0.0	2.4570282e-13	1.0	1.0
21	C22orf15	0.0	-6.0769e-13	1.0	1.0
21	IGLV3-19	0.0	-5.6988957e-13	1.0	1.0
21	IGLV2-18	0.0	4.145234e-13	1.0	1.0
21	AC233755.1	0.0	-3.6166686e-13	1.0	1.0
21	AC020912.1	0.0	4.004283e-13	1.0	1.0
21	AC233755.2	0.0	-4.3934995e-13	1.0	1.0
21	HRNR	0.0	-3.4500904e-13	1.0	1.0
21	AC087318.1	0.0	7.044335e-13	1.0	1.0
21	AC012150.2	0.0	-2.3897561e-13	1.0	1.0
22	CX3CR1	0.52017653		0.6029405501034166	1.0
22	FOLR2	0.51623863		0.6056877706594866	1.0
22	AL121845.1	0.512782		0.6081038282027338	1.0
22	AC009275.1	0.5113381		0.6091143378340957	1.0
22	SPNS3	0.51000357		0.610048957425738	1.0
22	AC117503.1	0.5027841		0.6151160973591998	1.0
22	BHLHE40-AS1	0.4951489		0.6204950257947837	1.0
22	COL5A2	0.48401335		0.6283763986357824	1.0
22	TRBV14	0.0	-7.8740226e-13	1.0	1.0
