Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Neuron Differentiation (GO:0030182)	37/173	7.252238e-02	9.999950e-01	0	0	1.341495e+00	3.519895e+00	PCSK9;WNT8B;OTP;VXN;LRP6;RNF112;FGF8;OPHN1;FUT9;PITX3;IRX1;NTRK2;FZD7;SPINK5;IRX4;PBX3;WNT9B;FZD8;PAX6;WNT9A;SMARCA1;EPOP;VAX1;VAX2;MANF;PHOX2A;LHX2;TDP2;ID2;DDIT4;PPT1;LHX6;LHX5;INSM2;INSM1;PTF1A;FOXA2
GO_Biological_Process_2023	Cell Proliferation In Forebrain (GO:0021846)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	NUMBL;CEP120;DOCK7;KIF14
GO_Biological_Process_2023	Cellular Response To Interleukin-12 (GO:0071349)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	IL12B;P4HB;JAK2;PLCB1
GO_Biological_Process_2023	Engulfment Of Apoptotic Cell (GO:0043652)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	XKR7;XKR9;RAC3;XKR5
GO_Biological_Process_2023	Kinetochore Organization (GO:0051383)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	CENPT;CENPE;NUF2;DLGAP5
GO_Biological_Process_2023	Maintenance Of Synapse Structure (GO:0099558)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	CHCHD10;SDF4;ERC1;CBLN1
GO_Biological_Process_2023	Meiotic Sister Chromatid Cohesion (GO:0051177)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	BUB1B;HORMAD2;HORMAD1;REC8
GO_Biological_Process_2023	Negative Regulation Of Programmed Necrotic Cell Death (GO:0062099)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	ARHGEF2;NUPR1;YBX3;BIRC2
GO_Biological_Process_2023	Negative Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000650)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	NEDD4;PRKCE;PCSK9;OXSR1
GO_Biological_Process_2023	Nuclear RNA Surveillance (GO:0071027)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	EXOSC7;XRN1;WDR82;EXOSC9
GO_Biological_Process_2023	Positive Regulation Of DNA-templated DNA Replication (GO:2000105)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	CDT1;DBF4;E2F7;E2F8
GO_Biological_Process_2023	Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	BTC;EGF;EREG;HBEGF
GO_Biological_Process_2023	Positive Regulation Of Macrophage Differentiation (GO:0045651)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	ID2;IL34;LIF;PF4
GO_Biological_Process_2023	Protein Localization To Condensed Chromosome (GO:1903083)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	ZW10;CDK1;TTK;KNL1
GO_Biological_Process_2023	Regulation Of Long-Term Neuronal Synaptic Plasticity (GO:0048169)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	SYNGR1;DLG4;NEURL1;DRD2
GO_Biological_Process_2023	Regulation Of Melanin Biosynthetic Process (GO:0048021)	4/10	7.275524e-02	9.999950e-01	0	0	3.280806e+00	8.597857e+00	CDH3;CTNS;RAPGEF2;MFSD12
GO_Biological_Process_2023	Metaphase Plate Congression (GO:0051310)	13/51	7.821419e-02	9.999950e-01	0	0	1.684820e+00	4.293434e+00	CDCA5;KIF14;CDCA8;NDC80;EML3;CENPE;KIFC1;CHMP1B;ZW10;CHMP1A;CHMP4C;KIF2C;CEP55
GO_Biological_Process_2023	Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	13/51	7.821419e-02	9.999950e-01	0	0	1.684820e+00	4.293434e+00	DOCK5;KANK1;SPRY4;TESK1;NEDD9;EFNA5;MDK;RAC3;CALR;MELTF;P4HB;ARHGEF7;S100A10
GO_Biological_Process_2023	Histone mRNA Metabolic Process (GO:0008334)	7/23	7.953217e-02	9.999950e-01	0	0	2.153647e+00	5.452158e+00	LSM10;MBLAC1;LSM11;XRN1;ERI1;TUT1;MTPAP
GO_Biological_Process_2023	Protein N-linked Glycosylation Via Asparagine (GO:0018279)	7/23	7.953217e-02	9.999950e-01	0	0	2.153647e+00	5.452158e+00	TUSC3;DAD1;PSMD2;UGGT2;B4GALNT2;DDOST;UBE2J1
GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	11/42	8.537707e-02	9.999950e-01	0	0	1.747230e+00	4.299371e+00	SPRR2F;SPRR3;PPP3CA;SCEL;KRT16;SPRR2B;POU2F3;SPRR1A;EREG;EPHA2;FGFR1
