names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
S100P	16.119799	3.0894158	1.8521169488131706e-58	2.0553838718118483e-56	TNBC_enriched_9_vs_Normal_enriched_22	up
MSRB2	16.072958	2.8505359	3.947934723053361e-58	4.326789328464382e-56	TNBC_enriched_9_vs_Normal_enriched_22	up
TECR	15.967623	1.9081019	2.1481803770430591e-57	2.325438205700906e-55	TNBC_enriched_9_vs_Normal_enriched_22	up
BEX3	15.878461	1.952944	8.934408604192109e-57	9.496845772347577e-55	TNBC_enriched_9_vs_Normal_enriched_22	up
ATP5PF	15.874291	1.1975285	9.54837327568907e-57	1.0088685416139739e-54	TNBC_enriched_9_vs_Normal_enriched_22	up
CUTA	15.80929	1.223929	2.6847568872798924e-56	2.73829683676611e-54	TNBC_enriched_9_vs_Normal_enriched_22	up
CYB5A	15.683808	1.650426	1.951921992633384e-55	1.913425753334225e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
ATP5PD	15.671144	1.4554679	2.382552458354424e-55	2.322659565064299e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
NDUFB5	15.668338	2.1296225	2.4900833605547607e-55	2.4141494998345473e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
TSEN34	15.655672	2.4535239	3.0388491583113917e-55	2.9300816064701917e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
HSPB1	15.632252	1.7307197	4.3901164767715506e-55	4.20997854525185e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
C4orf3	15.601777	1.6468428	7.07952110115315e-55	6.71602956074448e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
SERP1	15.597413	1.0585796	7.580426676038927e-55	7.152760892978979e-53	TNBC_enriched_9_vs_Normal_enriched_22	up
ZFP36L1	15.505095	1.4056253	3.204460630358803e-54	2.9916776625757186e-52	TNBC_enriched_9_vs_Normal_enriched_22	up
RPL39L	15.438885	2.8667078	8.963627406678784e-54	8.19498474563975e-52	TNBC_enriched_9_vs_Normal_enriched_22	up
NDUFB4	15.354672	1.1222965	3.295716140027266e-53	2.951924431004117e-51	TNBC_enriched_9_vs_Normal_enriched_22	up
APLP2	15.311027	1.5179653	6.453746869055043e-53	5.722430326858101e-51	TNBC_enriched_9_vs_Normal_enriched_22	up
LAMTOR2	15.288697	1.6356441	9.09519691652688e-53	8.02423747960584e-51	TNBC_enriched_9_vs_Normal_enriched_22	up
RHOBTB3	15.274746	3.6324158	1.1266661913443313e-52	9.890559674761556e-51	TNBC_enriched_9_vs_Normal_enriched_22	up
LAMTOR4	15.199534	1.497054	3.561419135430409e-52	3.0956276179640177e-50	TNBC_enriched_9_vs_Normal_enriched_22	up
HINT2	15.12596	2.3162618	1.091960166117197e-51	9.35322190831939e-50	TNBC_enriched_9_vs_Normal_enriched_22	up
NDUFB7	15.0352	1.0898238	4.317397538561692e-51	3.593418847543446e-49	TNBC_enriched_9_vs_Normal_enriched_22	up
SCP2	14.894131	1.7416908	3.598329804211251e-50	2.9125013484086024e-48	TNBC_enriched_9_vs_Normal_enriched_22	up
NDUFA4L2	14.838483	6.1412525	8.2603431082983595e-50	6.595192495290704e-48	TNBC_enriched_9_vs_Normal_enriched_22	up
ENY2	14.807775	1.2190505	1.3048942163962345e-49	1.0325048631529845e-47	TNBC_enriched_9_vs_Normal_enriched_22	up
KRT14	14.779522	3.6137896	1.9857122165069848e-49	1.5572396471229222e-47	TNBC_enriched_9_vs_Normal_enriched_22	up
SIVA1	14.775352	1.4995956	2.1125067156215186e-49	1.6493442919089242e-47	TNBC_enriched_9_vs_Normal_enriched_22	up
CCND1	14.540405	1.6582038	6.719386585638473e-48	5.0668195001534565e-46	TNBC_enriched_9_vs_Normal_enriched_22	up
PAFAH1B3	14.428991	1.7156266	3.4001718623556514e-47	2.5314781650322984e-45	TNBC_enriched_9_vs_Normal_enriched_22	up
HSPB11	14.386281	2.1992772	6.309903632773256e-47	4.658504167375905e-45	TNBC_enriched_9_vs_Normal_enriched_22	up
LSM3	14.350858	1.427244	1.0522794264396867e-46	7.67250846261499e-45	TNBC_enriched_9_vs_Normal_enriched_22	up
EGR1	14.309199	2.0143769	1.917080825965926e-46	1.3920531347394554e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
JUN	14.299145	1.267849	2.2151402129698133e-46	1.5953530227694836e-44	TNBC_enriched_9_vs_Normal_enriched_22	up
