names	scores	logfoldchanges	pvals	pvals_adj
LNCPRESS1	154.29295	-1.5878912	0.0	0.0
AC106795.3	153.99596	-4.4873686	0.0	0.0
SLC22A9	153.93414	-1.5840611	0.0	0.0
HRASLS2	153.92937	-4.040963	0.0	0.0
CITED1	152.85255		0.0	0.0
AC008555.5	152.46867	1.6575446	0.0	0.0
ENTPD8	152.07352		0.0	0.0
NXNL2	152.00581	-3.75366	0.0	0.0
SEMA3G	151.94014	-0.4726693	0.0	0.0
AP000844.2	151.8165	-4.277416	0.0	0.0
CFAP157	151.60506		0.0	0.0
SCUBE1	151.42198	-0.38564894	0.0	0.0
PRR15	151.37187	-2.718424	0.0	0.0
RAB6C	151.24736		0.0	0.0
AC093001.1	151.18681	-2.6225624	0.0	0.0
FGF12	151.1147	-0.67828125	0.0	0.0
TRIM3	151.1123	-2.824239	0.0	0.0
BRDT	151.10345	0.28126916	0.0	0.0
TPSG1	151.07257		0.0	0.0
SEMA3F	150.9428	-1.7394478	0.0	0.0
GIPR	150.65015		0.0	0.0
EFCC1	150.50752	-0.11856555	0.0	0.0
LINC02266	150.38464		0.0	0.0
AL391421.1	150.13847		0.0	0.0
AC104785.1	149.82143	-1.30792	0.0	0.0
ERBB4	149.81575	-2.9025257	0.0	0.0
C5AR2	149.7662		0.0	0.0
FLRT3	149.67947	-1.0484446	0.0	0.0
AC092801.1	149.59555		0.0	0.0
DNAH5	149.32996	-1.5364196	0.0	0.0
ZNF835	149.32414	-0.22613823	0.0	0.0
DYNLRB2	149.04453	-2.289674	0.0	0.0
LRRC4C	148.84808	-1.0548395	0.0	0.0
SYT9	148.80807	-1.9756198	0.0	0.0
C14orf132	148.78902	-1.0152714	0.0	0.0
PRR29	148.58151		0.0	0.0
NEK10	148.3195		0.0	0.0
C9orf106	148.29953		0.0	0.0
AC024941.2	147.39214	-1.0489469	0.0	0.0
FSIP1	147.06749		0.0	0.0
AC106900.1	146.96184	-2.5023718	0.0	0.0
C10orf82	146.91043	-1.2680424	0.0	0.0
RNFT1-DT	146.80162		0.0	0.0
ERICH2	146.43097	-3.0212476	0.0	0.0
CDYL2	146.2614		0.0	0.0
AGBL4	146.23744	-3.6850278	0.0	0.0
AC022929.2	146.12523	-0.6159894	0.0	0.0
VWA3A	146.03683	-1.9080626	0.0	0.0
NOVA1	145.50426	-2.99711	0.0	0.0
CHAD	145.44005		0.0	0.0
MESTIT1	145.11151	0.33647585	0.0	0.0
RANBP3L	144.89449	1.9291391	0.0	0.0
AL121768.1	144.80864	-0.545989	0.0	0.0
CIB3	144.761		0.0	0.0
SLC4A8	144.74709		0.0	0.0
FBXL7	144.67252	0.98968726	0.0	0.0
AC139792.1	144.40552	-1.279135	0.0	0.0
AC007405.3	144.24362	-0.29446647	0.0	0.0
NOSTRIN	144.14175		0.0	0.0
CLSTN2	144.01717	-2.7699957	0.0	0.0
CST9	144.00557	-4.6612663	0.0	0.0
AC027682.6	144.00089		0.0	0.0
FAM47E	143.95644	-5.6099987	0.0	0.0
CPLX1	143.87605	-2.543053	0.0	0.0
AP001528.2	143.6512	-0.6392545	0.0	0.0
LINC02224	143.63254	-23.284952	0.0	0.0
AC020663.2	143.45981	-1.0299742	0.0	0.0
EGF	143.44165	2.2323685	0.0	0.0
LRRC46	143.38365		0.0	0.0
AL354919.1	143.33516	-0.20560883	0.0	0.0
SLC7A8	143.14183		0.0	0.0
SLC26A1	143.13763	0.19358085	0.0	0.0
AL157387.1	143.10178		0.0	0.0
AC011405.1	143.05698	-1.421915	0.0	0.0
PYY	142.89409		0.0	0.0
CYP4F11	142.81497	2.8619845	0.0	0.0
CCDC175	142.81186	-4.076035	0.0	0.0
DHRS2	142.7031		0.0	0.0
PLEKHA6	142.69995	-1.0575535	0.0	0.0
FYB2	142.60732		0.0	0.0
PLIN1	142.5223	0.25525263	0.0	0.0
RAPGEF3	142.297		0.0	0.0
AC007938.3	142.28656	-2.6872916	0.0	0.0
SIDT1-AS1	142.21468		0.0	0.0
SNTN	142.09738		0.0	0.0
AC005920.1	141.8944		0.0	0.0
LINC01209	141.71515		0.0	0.0
GCM1	141.65097	-0.2689519	0.0	0.0
DACH1	141.36937	-2.2999191	0.0	0.0
TPRN	141.28108	-2.202524	0.0	0.0
TMEM229B	141.24948		0.0	0.0
RAB19	141.24142	-3.2568555	0.0	0.0
TMEM178A	141.17656	-2.9285843	0.0	0.0
CLPSL2	141.10637	-1.0057567	0.0	0.0
AL157838.1	141.09933	0.22199982	0.0	0.0
FZD10	141.00908	-2.5449626	0.0	0.0
SRRM3	140.97804		0.0	0.0
STK32B	140.95474	1.2815952	0.0	0.0
INPP5J	140.74779	-0.942149	0.0	0.0
PHGR1	140.6214	-4.7243333	0.0	0.0
MEST	140.5696	-2.2599866	0.0	0.0
PRTG	140.50479		0.0	0.0
FZD4	140.3283	0.832263	0.0	0.0
C1orf167	140.25381		0.0	0.0
RNF224	140.1918	-0.27017987	0.0	0.0
AL137798.1	140.16058	-6.9227448	0.0	0.0
C16orf45	139.98494		0.0	0.0
KCNC2	139.91916	0.51211643	0.0	0.0
KLHDC7A	139.79582		0.0	0.0
KRT32	139.79504	2.9885678	0.0	0.0
SCNN1D	139.73544		0.0	0.0
PGLYRP2	139.68633		0.0	0.0
ADRA2C	139.37936	0.3844987	0.0	0.0
AL359736.1	139.3742	-1.9948081	0.0	0.0
ADAM22	138.99896	-0.47978824	0.0	0.0
EPHA10	138.83446		0.0	0.0
LINC01116	138.7693		0.0	0.0
AC107884.2	138.65231	-0.29652846	0.0	0.0
PCP2	138.58269	-4.688739	0.0	0.0
SIGLEC15	138.46478	1.6460742	0.0	0.0
