cell_type	kruskal_stat	pvalue
Fibroblast	16.547102919725177	0.002366401007157933
Endothelial	16.021158016147638	0.0029909037620653215
Macrophage	15.5336731450368	0.00830959498878705
Dendritic_APC	9.282038429406853	0.00964785937461222
Plasma_cell	10.866571428571433	0.0540906071565364
T_cell	7.724277866383119	0.10221667210351226
Epithelial	7.829089026915113	0.16590981358730988
B_cell_APC	3.601778656126484	0.3077996952514143
NK_cell	1.9456521739130466	0.5837630679466894
Activated_Tcell	0.6666666666666643	0.71653131057379
