names	scores	logfoldchanges	pvals	pvals_adj	comparison	direction
TP53I3	-3.1210177	-1.0518479	0.0018022713222555	0.0091592965095617	TNBC_enriched_33_vs_Normal_enriched_22	down
SLC4A1AP	-3.1212027	-1.1980282	0.0018011396859362	0.0091561825866738	TNBC_enriched_33_vs_Normal_enriched_22	down
OLFM4	-3.1274912	-2.59509	0.0017630504337791	0.0089780735653772	TNBC_enriched_33_vs_Normal_enriched_22	down
PMM2	-3.1556664	-1.3691498	0.0016013193309615	0.0082449021286306	TNBC_enriched_33_vs_Normal_enriched_22	down
KPNA3	-3.1700928	-1.0168992	0.0015239018601966	0.0078877231807478	TNBC_enriched_33_vs_Normal_enriched_22	down
INPP1	-3.190808	-1.5891614	0.0014187549515383	0.0074174610725613	TNBC_enriched_33_vs_Normal_enriched_22	down
NUP98	-3.2050498	-1.0353903	0.0013503915132646	0.0071042511185314	TNBC_enriched_33_vs_Normal_enriched_22	down
NOP14	-3.2064676	-1.1729932	0.0013437537995503	0.0070735488642796	TNBC_enriched_33_vs_Normal_enriched_22	down
PHYKPL	-3.214914	-1.0781492	0.0013048357685667	0.0068933614180722	TNBC_enriched_33_vs_Normal_enriched_22	down
MYO1E	-3.247158	-1.3044186	0.0011656359789081	0.0062269593847515	TNBC_enriched_33_vs_Normal_enriched_22	down
NSDHL	-3.2658389	-1.1290814	0.0010914037480736	0.0059036845906678	TNBC_enriched_33_vs_Normal_enriched_22	down
SERPINB3	-3.2837179	-6.5183606	0.00102447417118	0.0055861701948308	TNBC_enriched_33_vs_Normal_enriched_22	down
RB1	-3.298391	-1.3501021	0.0009724058831372	0.0053170442540925	TNBC_enriched_33_vs_Normal_enriched_22	down
NCLN	-3.3006105	-1.1580536	0.0009647468547633	0.0052833514128801	TNBC_enriched_33_vs_Normal_enriched_22	down
ADORA2B	-3.311708	-2.2689755	0.0009272828614152	0.0051019351698383	TNBC_enriched_33_vs_Normal_enriched_22	down
IQCG	-3.314914	-1.0405353	0.0009167135948899	0.005050081605318	TNBC_enriched_33_vs_Normal_enriched_22	down
MEST	-3.327491	-1.997791	0.0008763184154012	0.0048578820106049	TNBC_enriched_33_vs_Normal_enriched_22	down
TRMT1	-3.3284774	-1.0535446	0.0008732210032772	0.0048422327475884	TNBC_enriched_33_vs_Normal_enriched_22	down
SAMD4A	-3.3387117	-1.3085124	0.0008416789124745	0.0046894298738909	TNBC_enriched_33_vs_Normal_enriched_22	down
IRF2	-3.3430274	-1.2122844	0.0008286975345973	0.0046273316449274	TNBC_enriched_33_vs_Normal_enriched_22	down
CTR9	-3.3437672	-1.1684884	0.0008264908933252	0.0046179328096023	TNBC_enriched_33_vs_Normal_enriched_22	down
SH3BP2	-3.376936	-1.4742254	0.0007329811040748	0.0041440088373599	TNBC_enriched_33_vs_Normal_enriched_22	down
AEN	-3.3842108	-1.2017878	0.000713831418887	0.0040435169779332	TNBC_enriched_33_vs_Normal_enriched_22	down
HOXA5	-3.396418	-2.5184717	0.0006827399618651	0.0038761089533815	TNBC_enriched_33_vs_Normal_enriched_22	down
UBASH3B	-3.400857	-1.8142886	0.0006717495492533	0.0038235550956693	TNBC_enriched_33_vs_Normal_enriched_22	down
PKIB	-3.40209	-1.0308015	0.0006687259772441	0.0038075733683357	TNBC_enriched_33_vs_Normal_enriched_22	down
FRMD6	-3.4033232	-1.0184941	0.0006657150623238	0.0037928777122069	TNBC_enriched_33_vs_Normal_enriched_22	down
