names	scores	logfoldchanges	pvals	pvals_adj
COLQ	0.08667237		0.9309319382497241	1.0
ZBED2	0.08537761	-2.276411	0.931961191434186	1.0
IGHV4-39	0.08537761	-1.8726598	0.931961191434186	1.0
GCGR	0.08537761	-1.5916281	0.931961191434186	1.0
AQP9	0.08537302	-0.60354394	0.931964841471645	1.0
SLC22A1	0.08521538	-0.5006089	0.9320901602917085	1.0
FPR1	0.08521538	-1.4641683	0.9320901602917085	1.0
AC090630.1	0.0852062	-1.2310438	0.9320974604690669	1.0
KCTD16	0.0852062	-1.0228896	0.9320974604690669	1.0
PRF1	0.08488481	-2.2074397	0.9323529702706987	1.0
NRROS	0.08453587	-0.8740629	0.9326303888042554	1.0
AL022323.3	0.08353648	-0.2517026	0.933424970385062	1.0
AC242988.1	0.08243456	-0.7921979	0.9343011555791663	1.0
RP1L1	0.08243456	-0.8165818	0.9343011555791663	1.0
FGFBP2	0.08227539	-0.049013592	0.9344277222663931	1.0
DNAH10	0.08226315	-0.6290107	0.9344374582341036	1.0
C4orf50	0.08209174	-1.613882	0.9345737628110238	1.0
PCDH10	0.08202134	-0.68089914	0.934629745603846	1.0
XCL1	0.081949405	-2.4140604	0.9346869457477847	1.0
AL022341.2	0.08174892	-1.1572975	0.9348463777149014	1.0
APBB1IP	0.08174892		0.9348463777149014	1.0
Z97192.1	0.07966292	-1.4481469	0.9365053542448218	1.0
P2RX6	0.07966292	-1.2727224	0.9365053542448218	1.0
PGA3	0.07966292	-1.1814598	0.9365053542448218	1.0
AC090948.2	0.07966292	-1.1904954	0.9365053542448218	1.0
GRID2	0.07966292	-0.9876622	0.9365053542448218	1.0
PPEF2	0.07966292	-0.9876622	0.9365053542448218	1.0
AC004160.2	0.07966292	-1.9815949	0.9365053542448218	1.0
TSPEAR-AS1	0.07966292	-1.7153643	0.9365053542448218	1.0
Z83847.1	0.0794915	-0.84858274	0.9366416874895874	1.0
OSM	0.0794915	-0.83767503	0.9366416874895874	1.0
LINC00310	0.0794915	-0.5145549	0.9366416874895874	1.0
PRDM1	0.07934152	-0.0037890498	0.9367609806027412	1.0
HAVCR2	0.078900754	-0.70168865	0.9371115644882495	1.0
SAMSN1	0.07883647	0.83945984	0.937162692325182	1.0
ZBP1	0.07876913	-2.5851088	0.9372162550989046	1.0
CFAP73	0.07853345	-0.4774076	0.9374037270427428	1.0
LINC01630	0.07689127	-1.1834437	0.9387100396446451	1.0
IGHV2-26	0.07689127	-5.0543203	0.9387100396446451	1.0
HIST1H4F	0.076719865	-0.97990906	0.9388464024385608	1.0
CXCR6	0.07655916	-1.4691535	0.9389742441865767	1.0
AC110615.1	0.07637704	-0.6921323	0.9391191334021902	1.0
AC027601.4	0.07637704	-0.5494332	0.9391191334021902	1.0
Z82206.1	0.07619951	-0.6842059	0.9392603718883977	1.0
LINC02361	0.0760633	0.8728585	0.9393687371949372	1.0
LGI2	0.07394822	-0.8629025	0.9410515862477619	1.0
IGLV6-57	0.07394822	-1.53308	0.9410515862477619	1.0
AC133550.1	0.07394822	-0.75486296	0.9410515862477619	1.0
S100A12	0.07394822	-0.71342576	0.9410515862477619	1.0
AC006238.1	0.07394822	-0.6029496	0.9410515862477619	1.0
CCR2	0.07394822	-1.7452834	0.9410515862477619	1.0
AF287957.1	0.07394822	-0.93563133	0.9410515862477619	1.0
